campaign_id,advertiser,ad_type,network,content_category,region,device,budget,start_date,end_date,target_impressions
CMP0001,TechFirm_E,Mid-roll,VisionPlus,News,Northeast,CTV,36900.0,2024-12-11,2024-12-18,2045639
CMP0002,InsureCo_D,Pre-roll,ArcLight,News,Southwest,Tablet,69500.0,2024-07-09,2024-07-16,5916157
CMP0003,AutoBrand_A,Mid-roll,NexGen,Entertainment,Midwest,Mobile,409500.0,2024-11-28,2024-12-19,35119062
CMP0004,CPG_Co_B,Display,PrimeView,Reality,Midwest,CTV,69100.0,2024-09-25,2024-10-02,3386351
CMP0005,FinServ_G,Pre-roll,ArcLight,Entertainment,Southwest,Desktop,487200.0,2024-11-15,2024-11-22,27347761
CMP0006,TechFirm_E,Pre-roll,VisionPlus,Sports,West,Desktop,339100.0,2024-07-18,2024-07-25,21587760
CMP0007,InsureCo_D,Display,StreamMax,Reality,Southeast,Mobile,200800.0,2024-10-02,2024-10-16,18630816
CMP0008,InsureCo_D,Display,StreamMax,News,Northeast,Desktop,495000.0,2024-10-06,2024-10-27,33401257
CMP0009,BeverageBrand_F,Mid-roll,NexGen,Drama,West,Mobile,458700.0,2024-07-17,2024-07-31,36687304
CMP0010,FinServ_G,Sponsored_Content,PrimeView,News,Southeast,Tablet,281000.0,2024-09-02,2024-10-14,29438078
CMP0011,RetailChain_C,Sponsored_Content,ArcLight,Sports,West,Tablet,97600.0,2024-07-13,2024-07-20,5383311
CMP0012,AutoBrand_A,Pre-roll,ArcLight,Entertainment,Midwest,CTV,144400.0,2024-10-28,2024-12-09,11116669
CMP0013,TechFirm_E,Mid-roll,ArcLight,Sports,Midwest,Mobile,26500.0,2024-08-10,2024-09-07,2500408
CMP0014,AutoBrand_A,Display,NexGen,Sports,Northeast,Desktop,477900.0,2024-08-11,2024-09-22,20834176
CMP0015,CPG_Co_B,Pre-roll,NexGen,Sports,Southwest,Mobile,52500.0,2024-09-17,2024-10-01,5155826
CMP0016,FinServ_G,Mid-roll,ArcLight,Documentary,Southeast,Desktop,103400.0,2024-10-30,2024-12-11,6994582
CMP0017,AutoBrand_H,Pre-roll,VisionPlus,News,Northeast,Desktop,233100.0,2024-12-14,2025-01-01,27890840
CMP0018,AutoBrand_A,Pre-roll,StreamMax,News,Northeast,CTV,304500.0,2024-11-19,2024-12-03,13465228
CMP0019,AutoBrand_H,Mid-roll,ArcLight,News,Southwest,Tablet,138100.0,2024-07-19,2024-08-30,11384101
CMP0020,CPG_Co_B,Sponsored_Content,PrimeView,Drama,West,Tablet,115400.0,2024-10-30,2024-11-27,5087011
CMP0021,BeverageBrand_F,Pre-roll,VisionPlus,News,Southeast,Tablet,53800.0,2024-07-14,2024-07-21,5181497
CMP0022,CPG_Co_B,Sponsored_Content,ArcLight,Sports,Northeast,CTV,244700.0,2024-08-16,2024-09-06,9998800
CMP0023,AutoBrand_H,Mid-roll,NexGen,Sports,Southeast,Tablet,218000.0,2024-08-30,2024-09-13,27125759
CMP0024,AutoBrand_H,Display,NexGen,Documentary,Southwest,Tablet,465100.0,2024-10-08,2024-10-29,43747165
CMP0025,AutoBrand_A,Display,StreamMax,Sports,Southwest,Tablet,485100.0,2024-09-14,2024-09-28,29313912
CMP0026,CPG_Co_B,Mid-roll,StreamMax,Reality,Northeast,Mobile,52000.0,2024-11-13,2024-11-27,3498341
CMP0027,AutoBrand_A,Pre-roll,NexGen,Documentary,Southwest,Desktop,300000.0,2024-11-23,2024-12-07,12557552
CMP0028,FinServ_G,Mid-roll,PrimeView,Drama,Midwest,CTV,138400.0,2024-08-22,2024-09-12,16964188
CMP0029,CPG_Co_B,Mid-roll,ArcLight,Entertainment,Southeast,Desktop,498100.0,2024-12-07,2025-01-01,21680378
CMP0030,AutoBrand_H,Display,ArcLight,Documentary,Southwest,CTV,160400.0,2024-09-01,2024-09-22,8287831
CMP0031,CPG_Co_B,Mid-roll,PrimeView,Sports,Northeast,Mobile,467600.0,2024-11-19,2024-12-10,37023196
CMP0032,InsureCo_D,Display,ArcLight,Drama,Midwest,CTV,365900.0,2024-12-02,2024-12-16,38237764
CMP0033,BeverageBrand_F,Mid-roll,PrimeView,News,West,Tablet,45900.0,2024-10-17,2024-11-07,2617559
CMP0034,RetailChain_C,Pre-roll,PrimeView,Reality,Southwest,Mobile,473900.0,2024-07-29,2024-08-05,30960957
CMP0035,AutoBrand_A,Display,VisionPlus,Documentary,Southeast,CTV,198200.0,2024-07-11,2024-08-01,14144476
CMP0036,RetailChain_C,Mid-roll,VisionPlus,News,West,CTV,487600.0,2024-11-21,2024-12-19,44130166
CMP0037,InsureCo_D,Display,VisionPlus,Documentary,Northeast,Tablet,406100.0,2024-09-24,2024-10-22,17790464
CMP0038,AutoBrand_H,Display,PrimeView,News,Southeast,CTV,119800.0,2024-10-29,2024-11-12,6232907
CMP0039,CPG_Co_B,Display,PrimeView,Documentary,Southwest,Tablet,157300.0,2024-10-11,2024-11-01,8045291
CMP0040,CPG_Co_B,Display,VisionPlus,Reality,Midwest,CTV,471100.0,2024-11-15,2024-12-06,47862186
CMP0041,BeverageBrand_F,Sponsored_Content,ArcLight,Reality,Northeast,Tablet,371100.0,2024-10-20,2024-11-10,15932796
CMP0042,FinServ_G,Pre-roll,ArcLight,Reality,Southeast,Desktop,46100.0,2024-08-18,2024-09-08,3006772
CMP0043,CPG_Co_B,Display,ArcLight,Entertainment,West,Desktop,321000.0,2024-12-18,2025-01-01,21629552
CMP0044,FinServ_G,Sponsored_Content,VisionPlus,Reality,Southwest,Desktop,85500.0,2024-09-14,2024-10-26,5736992
CMP0045,FinServ_G,Display,NexGen,Drama,West,Mobile,161300.0,2024-07-01,2024-07-22,9664494
CMP0046,BeverageBrand_F,Pre-roll,VisionPlus,Documentary,Midwest,Mobile,159800.0,2024-08-13,2024-08-20,7360131
CMP0047,AutoBrand_H,Pre-roll,NexGen,Drama,Southwest,Mobile,47000.0,2024-08-07,2024-08-14,2325365
CMP0048,RetailChain_C,Pre-roll,StreamMax,Drama,Southeast,Mobile,214800.0,2024-10-07,2024-11-04,9912381
CMP0049,InsureCo_D,Pre-roll,NexGen,News,West,Desktop,48900.0,2024-11-10,2024-12-08,2024788
CMP0050,FinServ_G,Sponsored_Content,VisionPlus,Documentary,West,Tablet,412100.0,2024-10-22,2024-12-03,33217111
CMP0051,AutoBrand_H,Mid-roll,PrimeView,Drama,Northeast,Desktop,388800.0,2024-09-02,2024-09-23,32436786
CMP0052,CPG_Co_B,Mid-roll,VisionPlus,News,West,Mobile,449200.0,2024-09-24,2024-10-15,22449756
CMP0053,AutoBrand_H,Sponsored_Content,StreamMax,News,West,Tablet,218600.0,2024-07-17,2024-08-14,9348970
CMP0054,FinServ_G,Sponsored_Content,StreamMax,Entertainment,Midwest,Tablet,431900.0,2024-11-27,2024-12-04,19188208
CMP0055,InsureCo_D,Sponsored_Content,VisionPlus,Entertainment,West,Tablet,380100.0,2024-10-16,2024-11-27,44752280
CMP0056,AutoBrand_H,Mid-roll,ArcLight,Reality,Northeast,Tablet,369000.0,2024-09-25,2024-10-23,20429430
