content_id,title,category,network,publish_date,episode_length_min
CNT0001,Drama_Show_001,Drama,PrimeView,2024-11-24,90
CNT0002,Reality_Show_002,Reality,NexGen,2024-09-18,22
CNT0003,Drama_Show_003,Drama,VisionPlus,2024-10-07,60
CNT0004,Drama_Show_004,Drama,StreamMax,2024-09-04,60
CNT0005,Sports_Show_005,Sports,StreamMax,2024-10-13,44
CNT0006,Entertainment_Show_006,Entertainment,PrimeView,2024-12-26,44
CNT0007,Drama_Show_007,Drama,VisionPlus,2024-07-10,90
CNT0008,Entertainment_Show_008,Entertainment,ArcLight,2024-10-18,44
CNT0009,Drama_Show_009,Drama,NexGen,2024-07-21,22
CNT0010,Documentary_Show_010,Documentary,ArcLight,2024-12-14,60
CNT0011,News_Show_011,News,ArcLight,2024-12-26,90
CNT0012,News_Show_012,News,PrimeView,2024-08-22,22
CNT0013,Documentary_Show_013,Documentary,PrimeView,2024-11-29,90
CNT0014,Documentary_Show_014,Documentary,StreamMax,2024-08-15,60
CNT0015,Entertainment_Show_015,Entertainment,StreamMax,2024-08-11,44
CNT0016,Drama_Show_016,Drama,NexGen,2024-12-20,44
CNT0017,Drama_Show_017,Drama,PrimeView,2024-08-30,22
CNT0018,Entertainment_Show_018,Entertainment,ArcLight,2024-09-13,60
CNT0019,Reality_Show_019,Reality,NexGen,2024-09-28,60
CNT0020,Drama_Show_020,Drama,NexGen,2024-09-02,60
CNT0021,Entertainment_Show_021,Entertainment,PrimeView,2024-09-13,44
CNT0022,Entertainment_Show_022,Entertainment,PrimeView,2024-07-19,60
CNT0023,Reality_Show_023,Reality,StreamMax,2024-10-10,44
CNT0024,Reality_Show_024,Reality,VisionPlus,2024-12-28,60
CNT0025,Entertainment_Show_025,Entertainment,ArcLight,2024-10-24,60
CNT0026,News_Show_026,News,ArcLight,2024-09-08,90
CNT0027,Entertainment_Show_027,Entertainment,StreamMax,2024-11-12,44
CNT0028,News_Show_028,News,VisionPlus,2024-07-13,60
CNT0029,Reality_Show_029,Reality,NexGen,2024-08-02,90
CNT0030,Documentary_Show_030,Documentary,VisionPlus,2024-11-25,60
CNT0031,Sports_Show_031,Sports,VisionPlus,2024-08-10,22
CNT0032,Sports_Show_032,Sports,ArcLight,2024-10-23,44
CNT0033,Sports_Show_033,Sports,VisionPlus,2024-07-30,90
CNT0034,Sports_Show_034,Sports,NexGen,2024-09-22,60
CNT0035,Reality_Show_035,Reality,PrimeView,2024-08-19,60
CNT0036,Documentary_Show_036,Documentary,NexGen,2024-10-03,60
CNT0037,Drama_Show_037,Drama,ArcLight,2024-08-03,44
CNT0038,Sports_Show_038,Sports,VisionPlus,2024-07-03,22
CNT0039,Entertainment_Show_039,Entertainment,PrimeView,2024-11-23,90
CNT0040,Entertainment_Show_040,Entertainment,NexGen,2024-07-17,44
CNT0041,Documentary_Show_041,Documentary,ArcLight,2024-08-27,22
CNT0042,Sports_Show_042,Sports,VisionPlus,2024-09-30,22
CNT0043,News_Show_043,News,StreamMax,2024-08-22,90
CNT0044,Entertainment_Show_044,Entertainment,NexGen,2024-09-30,90
CNT0045,News_Show_045,News,PrimeView,2024-11-27,60
CNT0046,Documentary_Show_046,Documentary,NexGen,2024-07-01,90
CNT0047,Sports_Show_047,Sports,ArcLight,2024-12-04,44
CNT0048,Sports_Show_048,Sports,PrimeView,2024-12-28,60
CNT0049,Reality_Show_049,Reality,PrimeView,2024-08-18,60
CNT0050,Documentary_Show_050,Documentary,PrimeView,2024-10-10,90
CNT0051,News_Show_051,News,StreamMax,2024-07-19,44
CNT0052,Reality_Show_052,Reality,ArcLight,2024-10-03,22
CNT0053,News_Show_053,News,PrimeView,2024-08-16,44
CNT0054,Drama_Show_054,Drama,VisionPlus,2024-12-19,44
CNT0055,Sports_Show_055,Sports,VisionPlus,2024-08-19,60
CNT0056,Drama_Show_056,Drama,PrimeView,2024-08-16,60
CNT0057,Drama_Show_057,Drama,VisionPlus,2024-12-15,22
CNT0058,Sports_Show_058,Sports,PrimeView,2024-08-29,90
CNT0059,Documentary_Show_059,Documentary,ArcLight,2024-10-15,90
CNT0060,Reality_Show_060,Reality,StreamMax,2024-07-09,60
CNT0061,Documentary_Show_061,Documentary,VisionPlus,2024-11-23,60
CNT0062,Drama_Show_062,Drama,ArcLight,2024-07-13,44
CNT0063,Documentary_Show_063,Documentary,StreamMax,2024-12-13,90
CNT0064,Drama_Show_064,Drama,PrimeView,2024-07-17,90
CNT0065,Entertainment_Show_065,Entertainment,VisionPlus,2024-07-10,60
CNT0066,News_Show_066,News,PrimeView,2024-07-15,44
CNT0067,News_Show_067,News,ArcLight,2024-10-02,22
CNT0068,News_Show_068,News,VisionPlus,2024-11-21,60
CNT0069,Drama_Show_069,Drama,NexGen,2024-09-25,44
CNT0070,Drama_Show_070,Drama,PrimeView,2024-08-10,44
CNT0071,News_Show_071,News,VisionPlus,2024-11-11,44
CNT0072,Reality_Show_072,Reality,VisionPlus,2024-07-03,44
CNT0073,Sports_Show_073,Sports,VisionPlus,2024-09-23,90
CNT0074,Reality_Show_074,Reality,StreamMax,2024-08-25,44
CNT0075,Sports_Show_075,Sports,VisionPlus,2024-07-06,44
CNT0076,News_Show_076,News,PrimeView,2024-10-13,90
CNT0077,Drama_Show_077,Drama,StreamMax,2024-12-25,22
CNT0078,Documentary_Show_078,Documentary,NexGen,2024-10-25,60
CNT0079,Sports_Show_079,Sports,NexGen,2024-10-18,44
CNT0080,Drama_Show_080,Drama,ArcLight,2024-12-04,60
