content_id,date,views,avg_watch_time_min,completion_rate,unique_viewers,device,region
CNT0001,2024-11-24,442975,44.3,0.4922,371871,Mobile,Midwest
CNT0001,2024-11-25,431231,50.5,0.5611,266473,Mobile,Southeast
CNT0001,2024-11-26,611023,60.0,0.6667,417121,Tablet,Southeast
CNT0001,2024-11-27,227568,33.0,0.3667,156264,Mobile,Northeast
CNT0001,2024-11-28,174210,59.2,0.6578,130083,CTV,Northeast
CNT0001,2024-11-29,240935,68.3,0.7589,218392,Mobile,Midwest
CNT0001,2024-11-30,54953,76.7,0.8522,34000,Tablet,Midwest
CNT0001,2024-12-01,494286,76.8,0.8533,369736,CTV,West
CNT0001,2024-12-02,579795,64.1,0.7122,439752,Desktop,West
CNT0001,2024-12-03,117313,63.4,0.7044,101636,Mobile,Midwest
CNT0001,2024-12-04,83121,51.3,0.57,66890,Mobile,Southwest
CNT0001,2024-12-05,336936,39.4,0.4378,275224,Mobile,Midwest
CNT0001,2024-12-06,357841,76.2,0.8467,222043,Mobile,Midwest
CNT0001,2024-12-07,316643,33.6,0.3733,286831,Desktop,West
CNT0001,2024-12-08,252846,70.4,0.7822,174503,Desktop,Southwest
CNT0001,2024-12-09,111845,80.1,0.89,84482,Mobile,West
CNT0001,2024-12-10,202281,71.0,0.7889,126308,Mobile,Northeast
CNT0001,2024-12-11,77580,35.8,0.3978,70860,CTV,Southwest
CNT0001,2024-12-12,281956,81.1,0.9011,172959,Desktop,Southwest
CNT0001,2024-12-13,235509,72.9,0.81,197280,CTV,Northeast
CNT0001,2024-12-14,224595,75.4,0.8378,196777,Tablet,Midwest
CNT0001,2024-12-15,294792,33.3,0.37,236237,Mobile,Southwest
CNT0001,2024-12-16,56306,49.6,0.5511,44373,Desktop,Midwest
CNT0001,2024-12-17,53324,62.2,0.6911,44539,CTV,West
CNT0001,2024-12-18,56419,40.4,0.4489,36416,Tablet,West
CNT0001,2024-12-19,151293,44.3,0.4922,117769,Mobile,Southeast
CNT0001,2024-12-20,25816,50.0,0.5556,17879,Mobile,Northeast
CNT0001,2024-12-21,181552,40.5,0.45,148386,Desktop,Southwest
CNT0001,2024-12-22,181489,51.1,0.5678,164537,Mobile,Northeast
CNT0001,2024-12-23,257037,59.2,0.6578,170302,Desktop,Midwest
CNT0001,2024-12-24,94907,54.2,0.6022,84424,CTV,Midwest
CNT0001,2024-12-25,142087,74.6,0.8289,107945,Desktop,Northeast
CNT0001,2024-12-26,106733,55.3,0.6144,91515,CTV,Midwest
CNT0001,2024-12-27,180839,66.5,0.7389,152828,Desktop,Northeast
CNT0001,2024-12-28,128357,70.8,0.7867,89879,Tablet,West
CNT0001,2024-12-29,80428,63.5,0.7056,71517,Tablet,West
CNT0001,2024-12-30,145238,65.3,0.7256,94577,Desktop,West
CNT0001,2024-12-31,47673,45.2,0.5022,35504,Tablet,West
CNT0002,2024-09-18,307875,17.7,0.8045,200489,Desktop,Southwest
CNT0002,2024-09-19,285775,7.9,0.3591,178831,Tablet,Midwest
CNT0002,2024-09-20,710077,8.7,0.3955,609989,Mobile,Northeast
CNT0002,2024-09-21,389709,12.3,0.5591,324253,Mobile,Southeast
CNT0002,2024-09-22,550502,11.3,0.5136,342867,Tablet,Southeast
CNT0002,2024-09-23,75249,9.6,0.4364,52800,Tablet,Southeast
CNT0002,2024-09-24,377648,10.8,0.4909,307360,Mobile,West
CNT0002,2024-09-25,151229,18.1,0.8227,125712,Mobile,Northeast
CNT0002,2024-09-26,419345,12.4,0.5636,296590,Desktop,Southwest
CNT0002,2024-09-27,488704,8.0,0.3636,397816,Desktop,Northeast
CNT0002,2024-09-28,205966,10.3,0.4682,130629,CTV,Northeast
CNT0002,2024-09-29,230582,14.9,0.6773,201190,Mobile,Southeast
