campaign_id,date,impressions,clicks,ctr,spend,cpm,completions,completion_rate,reach,frequency
CMP0001,2024-12-11,372454,6182,0.0166,10063.71,27.02,269483,0.7235,282610,2.35
CMP0001,2024-12-12,364660,21077,0.0578,11523.26,31.6,262854,0.7208,226250,2.4
CMP0001,2024-12-13,330101,9605,0.0291,10272.74,31.12,281328,0.8522,247679,1.57
CMP0001,2024-12-14,251726,730,0.0029,5706.63,22.67,219863,0.8734,173347,1.45
CMP0001,2024-12-15,252430,1539,0.0061,7100.86,28.13,165461,0.6555,186994,2.03
CMP0001,2024-12-16,376882,5351,0.0142,3704.75,9.83,268289,0.7119,296456,1.85
CMP0001,2024-12-17,324351,5124,0.0158,4894.46,15.09,181593,0.5599,182711,2.81
CMP0002,2024-07-09,993691,31201,0.0314,31659.0,31.86,684372,0.6887,553532,4.26
CMP0002,2024-07-10,845817,20976,0.0248,19369.21,22.9,712863,0.8428,494295,2.08
CMP0002,2024-07-11,1125983,23082,0.0205,27136.19,24.1,677113,0.6014,817896,2.63
CMP0002,2024-07-12,955800,29247,0.0306,7703.75,8.06,616196,0.6447,725204,2.97
CMP0002,2024-07-13,862207,9570,0.0111,17002.72,19.72,509684,0.5911,536314,2.12
CMP0002,2024-07-14,975870,26055,0.0267,16511.72,16.92,823383,0.8437,648249,1.48
CMP0002,2024-07-15,935157,24407,0.0261,20124.58,21.52,520023,0.5561,634825,1.92
CMP0003,2024-11-28,1394811,6416,0.0046,23934.96,17.16,1084437,0.7775,851031,2.52
CMP0003,2024-11-29,1746728,48733,0.0279,14375.57,8.23,1590609,0.9106,990254,2.89
CMP0003,2024-11-30,1663349,86161,0.0518,52728.16,31.7,1255888,0.755,1077207,2.7
CMP0003,2024-12-01,1657068,36124,0.0218,52214.21,31.51,1066904,0.6439,918116,3.78
CMP0003,2024-12-02,1617231,38328,0.0237,40527.81,25.06,1265410,0.7825,1201401,3.6
CMP0003,2024-12-03,1858896,16358,0.0088,13291.11,7.15,1397936,0.752,1400449,1.7
CMP0003,2024-12-04,1901965,45076,0.0237,34387.53,18.08,1535444,0.8073,1346465,3.86
CMP0003,2024-12-05,1716373,13730,0.008,44934.65,26.18,1234658,0.7193,1069919,1.25
CMP0003,2024-12-06,1746618,42966,0.0246,12383.52,7.09,1563829,0.8953,1185684,4.46
CMP0003,2024-12-07,1759009,27440,0.0156,22145.92,12.59,1457721,0.8287,1051493,2.31
CMP0003,2024-12-08,2145486,52135,0.0243,61167.81,28.51,1443509,0.6728,1246782,2.35
CMP0003,2024-12-09,1252536,23171,0.0185,31726.74,25.33,1103504,0.881,809966,4.41
CMP0003,2024-12-10,1624082,36054,0.0222,30760.11,18.94,1448672,0.892,1104081,3.82
CMP0003,2024-12-11,1670484,68656,0.0411,13447.4,8.05,1291129,0.7729,1262193,2.95
CMP0003,2024-12-12,2024227,9716,0.0048,16355.75,8.08,1608329,0.7945,1268429,3.15
CMP0003,2024-12-13,1691625,13194,0.0078,40480.59,23.93,1150427,0.6801,948306,4.06
CMP0003,2024-12-14,1283351,21816,0.017,41003.06,31.95,836212,0.6516,1020272,4.32
CMP0003,2024-12-15,1442885,10821,0.0075,32580.34,22.58,987546,0.6844,1082559,3.41
CMP0003,2024-12-16,1876407,12196,0.0065,18219.91,9.71,1453843,0.7748,1398538,1.22
CMP0003,2024-12-17,2309286,36486,0.0158,60595.66,26.24,1583111,0.6855,1491137,3.03
CMP0003,2024-12-18,1803265,41114,0.0228,42665.25,23.66,1624858,0.9011,1159505,3.69
CMP0004,2024-09-25,572080,14645,0.0256,11310.02,19.77,398895,0.6973,407544,1.95
CMP0004,2024-09-26,619153,11763,0.019,15559.31,25.13,454858,0.7346,400435,3.01
CMP0004,2024-09-27,535442,20025,0.0374,6837.59,12.77,382905,0.7151,427867,2.07
CMP0004,2024-09-28,664358,54743,0.0824,12470.0,18.77,395542,0.5954,507042,2.64
CMP0004,2024-09-29,548701,11248,0.0205,9640.68,17.57,319608,0.5825,395329,3.97
CMP0004,2024-09-30,484707,23459,0.0484,7285.15,15.03,278235,0.574,332287,4.13
CMP0004,2024-10-01,481258,3850,0.008,11795.63,24.51,429816,0.8931,341416,3.8
CMP0005,2024-11-15,3775868,116296,0.0308,34586.95,9.16,2357511,0.6244,2207822,3.79
CMP0005,2024-11-16,4340680,33423,0.0077,88549.87,20.4,2979864,0.6865,3259483,2.98
CMP0005,2024-11-17,4032286,23387,0.0058,33226.04,8.24,2679202,0.6644,3225420,3.54
CMP0005,2024-11-18,4939945,108678,0.022,128438.57,26.0,4221852,0.8546,2808050,4.41
CMP0005,2024-11-19,4541516,167581,0.0369,80384.83,17.7,3640662,0.8016,2888988,4.09
CMP0005,2024-11-20,3552920,76032,0.0214,80402.58,22.63,2193311,0.6173,2812371,2.57
CMP0005,2024-11-21,4465890,178635,0.04,33226.22,7.44,2661400,0.5959,2627077,1.66
CMP0006,2024-07-18,2389717,26525,0.0111,58404.68,24.44,1620296,0.678,1876467,4.14
CMP0006,2024-07-19,3401426,16326,0.0048,42585.85,12.52,2670021,0.785,2339195,1.53
CMP0006,2024-07-20,4008468,33671,0.0084,79648.26,19.87,2950040,0.736,2373650,4.3
CMP0006,2024-07-21,4184435,31801,0.0076,96785.98,23.13,3417152,0.8166,2934480,3.96
CMP0006,2024-07-22,3467348,7281,0.0021,95213.38,27.46,1943442,0.5605,1946449,3.28
CMP0006,2024-07-23,2717349,51629,0.019,62308.81,22.93,2265657,0.8338,1777544,3.27
CMP0006,2024-07-24,3852475,51623,0.0134,85948.72,22.31,2531763,0.6572,3040228,2.74
CMP0007,2024-10-02,1079080,41760,0.0387,25692.89,23.81,712247,0.6601,613179,1.3
CMP0007,2024-10-03,1660408,7139,0.0043,30866.98,18.59,1038566,0.6255,1165050,2.16
CMP0007,2024-10-04,1752059,61847,0.0353,43959.16,25.09,1521641,0.8685,1390860,1.54
CMP0007,2024-10-05,1477305,23636,0.016,30432.48,20.6,986947,0.6681,984798,2.01
CMP0007,2024-10-06,1575625,27573,0.0175,13424.32,8.52,1035781,0.6574,1017912,3.19
CMP0007,2024-10-07,1799470,11516,0.0064,51284.9,28.5,1096037,0.6091,1137011,3.06
CMP0007,2024-10-08,1344706,19901,0.0148,34747.2,25.84,987495,0.7344,912626,2.8
CMP0007,2024-10-09,1586388,3172,0.002,10470.16,6.6,1427330,0.8997,1072971,4.39
CMP0007,2024-10-10,1206471,35952,0.0298,18314.23,15.18,686119,0.5687,812827,4.1
CMP0007,2024-10-11,1539257,21241,0.0138,28076.05,18.24,1152250,0.7486,1172595,2.57
CMP0007,2024-10-12,1724807,20870,0.0121,42982.19,24.92,1436120,0.8326,1106436,2.46
CMP0007,2024-10-13,1306618,7709,0.0059,14451.2,11.06,986094,0.7547,742659,2.81
CMP0007,2024-10-14,1290411,76005,0.0589,17123.75,13.27,1181969,0.916,929224,1.5
CMP0007,2024-10-15,1333197,54527,0.0409,21651.12,16.24,1125367,0.8441,846275,4.29
CMP0008,2024-10-06,1516512,27297,0.018,16954.6,11.18,1119755,0.7384,1023675,1.25
CMP0008,2024-10-07,2364884,78750,0.0333,34669.2,14.66,1715215,0.7253,1570867,3.16
CMP0008,2024-10-08,1618961,48083,0.0297,23523.5,14.53,1257665,0.7768,956199,4.47
CMP0008,2024-10-09,1741840,32746,0.0188,24002.56,13.78,1174798,0.6745,1318698,2.91
CMP0008,2024-10-10,1873558,52084,0.0278,25836.36,13.79,1595947,0.8518,1202991,3.39
CMP0008,2024-10-11,1805265,51269,0.0284,38235.51,21.18,1525086,0.8448,1320246,3.44
CMP0008,2024-10-12,1645898,50693,0.0308,30185.77,18.34,1494172,0.9078,1227388,3.74
CMP0008,2024-10-13,1432064,64299,0.0449,35457.9,24.76,1096822,0.7659,848681,3.24
CMP0008,2024-10-14,2260634,35039,0.0155,63003.87,27.87,1366953,0.6047,1628067,1.21
CMP0008,2024-10-15,2211911,87370,0.0395,19597.53,8.86,1232049,0.557,1390016,1.61
CMP0008,2024-10-16,2004483,29666,0.0148,33414.73,16.67,1677230,0.8367,1563757,4.07
CMP0008,2024-10-17,1925261,77010,0.04,14670.49,7.62,1157256,0.6011,1158690,2.21
CMP0008,2024-10-18,1724218,127074,0.0737,33898.13,19.66,1148481,0.6661,1022970,4.2
CMP0008,2024-10-19,1876930,79018,0.0421,28548.11,15.21,1568430,0.8356,1370592,3.29
CMP0008,2024-10-20,1397691,28932,0.0207,30553.53,21.86,868158,0.6211,854869,3.0
CMP0008,2024-10-21,1452308,32386,0.0223,45457.24,31.3,958693,0.6601,903700,1.8
CMP0008,2024-10-22,2026005,60374,0.0298,28850.31,14.24,1375773,0.6791,1587223,3.8
CMP0008,2024-10-23,1891081,29122,0.0154,17341.21,9.17,1513527,0.8004,1219602,4.43
CMP0008,2024-10-24,2231650,57576,0.0258,68779.45,30.82,1891787,0.8477,1389454,2.08
CMP0008,2024-10-25,1882726,37089,0.0197,28259.72,15.01,1343662,0.7137,1156202,2.73
CMP0008,2024-10-26,1601744,22744,0.0142,32034.88,20.0,1433911,0.8952,1159731,1.57
CMP0009,2024-07-17,2082558,69765,0.0335,44275.18,21.26,1332232,0.6397,1494148,2.91
CMP0009,2024-07-18,3122748,60893,0.0195,22983.43,7.36,2195046,0.7029,2277543,1.44
CMP0009,2024-07-19,2687334,124961,0.0465,16473.36,6.13,2025256,0.7536,2102233,2.48
CMP0009,2024-07-20,3002425,162731,0.0542,86589.94,28.84,2181729,0.7267,1801046,4.38
CMP0009,2024-07-21,1940153,83620,0.0431,44216.09,22.79,1718852,0.8859,1110476,3.05
CMP0009,2024-07-22,2902571,32218,0.0111,71983.76,24.8,2602351,0.8966,2259092,1.7
CMP0009,2024-07-23,2614736,97268,0.0372,27637.76,10.57,2327807,0.8903,2089940,2.45
