week,weekly_impressions,weekly_spend,impressions_wow_delta,wow_pct_change
2024-W27,9113783,179017.04,,
2024-W28,28718396,526461.39,19604613.0,215.11
2024-W29,74400148,1420224.29,45681752.0,159.07
2024-W30,69427483,1417911.0,-4972665.0,-6.68
2024-W31,101020197,1867402.83,31592714.0,45.5
2024-W32,80870488,1403242.7,-20149709.0,-19.95
2024-W33,106220263,2050322.83,25349775.0,31.35
2024-W34,103933953,1875858.22,-2286310.0,-2.15
2024-W35,125165742,2367459.75,21231789.0,20.43
2024-W36,120550184,2278886.93,-4615558.0,-3.69
2024-W37,119604550,2421819.47,-945634.0,-0.78
2024-W38,130402486,2612435.4,10797936.0,9.03
2024-W39,104330540,1754156.0,-26071946.0,-19.99
2024-W40,94203983,1842580.31,-10126557.0,-9.71
2024-W41,102978589,1861275.17,8774606.0,9.31
2024-W42,78976114,1516330.01,-24002475.0,-23.31
2024-W43,119770249,2225361.57,40794135.0,51.65
2024-W44,96364562,1781003.09,-23405687.0,-19.54
2024-W45,61253964,1185191.12,-35110598.0,-36.44
2024-W46,118720366,2192642.8,57466402.0,93.82
2024-W47,155412745,3006762.89,36692379.0,30.91
2024-W48,143828867,2761178.66,-11583878.0,-7.45
2024-W49,131519700,2490155.79,-12309167.0,-8.56
2024-W50,116950508,2355303.47,-14569192.0,-11.08
2024-W51,88144375,1757010.56,-28806133.0,-24.63
2024-W52,63465370,1236565.82,-24679005.0,-28.0
2024-W53,17871526,347259.37,-45593844.0,-71.84
