content_category,ad_type,campaigns,impressions,avg_ctr_pct,avg_completion_rate_pct,avg_cpm
Reality,Display,8,148353965,2.387,72.96,19.31
Drama,Sponsored_Content,3,43395037,2.35,74.04,18.69
News,Display,5,129186544,2.348,74.53,18.63
Entertainment,Mid-roll,5,101033429,2.338,75.29,19.94
Documentary,Display,9,126768019,2.315,73.7,19.01
Sports,Display,6,165766352,2.267,72.1,18.12
Drama,Mid-roll,7,124305028,2.256,72.82,18.38
Reality,Sponsored_Content,6,107124858,2.233,73.85,19.07
Sports,Pre-roll,6,140611034,2.224,73.32,18.46
Documentary,Mid-roll,6,78766959,2.194,75.52,19.95
Entertainment,Sponsored_Content,5,114720473,2.166,73.57,19.08
Documentary,Sponsored_Content,6,83040603,2.161,73.36,19.49
Sports,Sponsored_Content,7,103965483,2.154,71.64,18.69
Drama,Display,8,131114668,2.139,73.41,19.3
Entertainment,Display,8,99977008,2.137,74.09,20.2
Drama,Pre-roll,5,48240557,2.125,73.45,19.07
News,Mid-roll,9,161397804,2.124,73.61,18.34
Reality,Mid-roll,7,98835992,2.109,74.65,19.02
Entertainment,Pre-roll,7,126886079,2.103,73.64,18.01
News,Pre-roll,10,167634189,2.102,73.13,19.32
Reality,Pre-roll,3,52666272,2.075,74.12,18.34
News,Sponsored_Content,4,71469783,2.055,72.44,19.79
Sports,Mid-roll,5,88915518,2.006,74.51,18.98
Documentary,Pre-roll,5,49043477,1.933,73.34,19.96
