campaign_id,advertiser,budget,target_impressions,actual_impressions,delivery_pct,pacing_status
CMP0116,RetailChain_C,281600.0,13140617,16259479,123.7,OVER
CMP0036,RetailChain_C,487600.0,44130166,52612197,119.2,OVER
CMP0033,BeverageBrand_F,45900.0,2617559,3081263,117.7,OVER
CMP0082,CPG_Co_B,143900.0,8085996,9475022,117.2,OVER
CMP0026,CPG_Co_B,52000.0,3498341,4092421,117.0,OVER
CMP0114,AutoBrand_A,339800.0,37070280,43228416,116.6,OVER
CMP0131,AutoBrand_H,347200.0,42702452,49632666,116.2,OVER
CMP0115,InsureCo_D,303500.0,13433421,15591439,116.1,OVER
CMP0120,BeverageBrand_F,452200.0,31239260,36226848,116.0,OVER
CMP0021,BeverageBrand_F,53800.0,5181497,5985542,115.5,OVER
CMP0017,AutoBrand_H,233100.0,27890840,32189506,115.4,OVER
CMP0010,FinServ_G,281000.0,29438078,33934739,115.3,OVER
CMP0004,CPG_Co_B,69100.0,3386351,3905699,115.3,OVER
CMP0019,AutoBrand_H,138100.0,11384101,13116225,115.2,OVER
CMP0008,InsureCo_D,495000.0,33401257,38485624,115.2,OVER
CMP0072,CPG_Co_B,159400.0,12132237,13951800,115.0,OVER
CMP0049,InsureCo_D,48900.0,2024788,2318637,114.5,OVER
CMP0104,BeverageBrand_F,313400.0,16777106,19195630,114.4,OVER
CMP0118,CPG_Co_B,394600.0,19378159,22135857,114.2,OVER
CMP0125,InsureCo_D,192000.0,8582406,9790996,114.1,OVER
CMP0126,InsureCo_D,387200.0,21097467,24054532,114.0,OVER
CMP0053,AutoBrand_H,218600.0,9348970,10626528,113.7,OVER
CMP0132,TechFirm_E,389500.0,18817115,21350991,113.5,OVER
CMP0068,FinServ_G,65700.0,4206424,4772659,113.5,OVER
CMP0141,CPG_Co_B,331200.0,21169062,23983285,113.3,OVER
CMP0002,InsureCo_D,69500.0,5916157,6694525,113.2,OVER
CMP0061,CPG_Co_B,104700.0,4400808,4975872,113.1,OVER
CMP0052,CPG_Co_B,449200.0,22449756,25355291,112.9,OVER
CMP0014,AutoBrand_A,477900.0,20834176,23514015,112.9,OVER
CMP0137,BeverageBrand_F,267200.0,21633070,24402396,112.8,OVER
CMP0018,AutoBrand_A,304500.0,13465228,15185490,112.8,OVER
CMP0147,FinServ_G,331900.0,13731968,15477820,112.7,OVER
CMP0129,BeverageBrand_F,173000.0,8891187,10023831,112.7,OVER
CMP0108,FinServ_G,198700.0,13928263,15663580,112.5,OVER
CMP0038,AutoBrand_H,119800.0,6232907,7010922,112.5,OVER
CMP0144,BeverageBrand_F,219200.0,12536191,14056755,112.1,OVER
CMP0015,CPG_Co_B,52500.0,5155826,5771841,111.9,OVER
CMP0102,CPG_Co_B,430300.0,17297960,19347706,111.8,OVER
CMP0117,RetailChain_C,178800.0,8647577,9654936,111.6,OVER
CMP0110,AutoBrand_H,326800.0,13567796,15135653,111.6,OVER
CMP0013,TechFirm_E,26500.0,2500408,2784262,111.4,OVER
CMP0006,TechFirm_E,339100.0,21587760,24021218,111.3,OVER
CMP0075,AutoBrand_A,258600.0,10386957,11548469,111.2,OVER
CMP0074,AutoBrand_H,248000.0,24950999,27738439,111.2,OVER
CMP0057,FinServ_G,64900.0,4492976,4990580,111.1,OVER
CMP0001,TechFirm_E,36900.0,2045639,2272604,111.1,OVER
CMP0123,RetailChain_C,202800.0,13218701,14674955,111.0,OVER
CMP0031,CPG_Co_B,467600.0,37023196,41089266,111.0,OVER
CMP0007,InsureCo_D,200800.0,18630816,20675802,111.0,OVER
CMP0040,CPG_Co_B,471100.0,47862186,52994007,110.7,OVER
CMP0145,RetailChain_C,144700.0,10901059,12038032,110.4,OVER
CMP0089,RetailChain_C,474900.0,21401236,23637445,110.4,OVER
CMP0056,AutoBrand_H,369000.0,20429430,22547595,110.4,OVER
CMP0044,FinServ_G,85500.0,5736992,6331141,110.4,OVER
CMP0096,BeverageBrand_F,205500.0,17137718,18908874,110.3,OVER
CMP0022,CPG_Co_B,244700.0,9998800,11027521,110.3,OVER
CMP0128,AutoBrand_A,58100.0,3697815,4074298,110.2,OVER
CMP0011,RetailChain_C,97600.0,5383311,5933632,110.2,OVER
CMP0134,FinServ_G,298500.0,12220887,13447493,110.0,OVER
CMP0066,AutoBrand_H,157500.0,11480644,12629149,110.0,OVER
CMP0135,BeverageBrand_F,243500.0,13519657,14860606,109.9,ON_TRACK
CMP0041,BeverageBrand_F,371100.0,15932796,17507491,109.9,ON_TRACK
CMP0094,BeverageBrand_F,483500.0,58528666,64076721,109.5,ON_TRACK
CMP0023,AutoBrand_H,218000.0,27125759,29701367,109.5,ON_TRACK
CMP0088,RetailChain_C,404700.0,42224176,46061927,109.1,ON_TRACK
CMP0034,RetailChain_C,473900.0,30960957,33762565,109.0,ON_TRACK
CMP0025,AutoBrand_A,485100.0,29313912,31965327,109.0,ON_TRACK
CMP0090,RetailChain_C,242000.0,10666216,11610964,108.9,ON_TRACK
CMP0083,AutoBrand_H,271500.0,11093432,12079937,108.9,ON_TRACK
CMP0139,BeverageBrand_F,178500.0,9528361,10364751,108.8,ON_TRACK
CMP0112,AutoBrand_H,336100.0,21631519,23500566,108.6,ON_TRACK
CMP0005,FinServ_G,487200.0,27347761,29649105,108.4,ON_TRACK
CMP0042,FinServ_G,46100.0,3006772,3240127,107.8,ON_TRACK
CMP0106,RetailChain_C,108400.0,8764205,9421910,107.5,ON_TRACK
CMP0080,RetailChain_C,456500.0,29517105,31674465,107.3,ON_TRACK
CMP0097,FinServ_G,379700.0,16255527,17323437,106.6,ON_TRACK
CMP0081,TechFirm_E,357400.0,15458351,16472442,106.6,ON_TRACK
CMP0054,FinServ_G,431900.0,19188208,20445171,106.6,ON_TRACK
CMP0030,AutoBrand_H,160400.0,8287831,8833465,106.6,ON_TRACK
CMP0078,FinServ_G,99400.0,8328378,8861795,106.4,ON_TRACK
CMP0107,BeverageBrand_F,379600.0,16779836,17823893,106.2,ON_TRACK
CMP0111,InsureCo_D,80200.0,4459324,4724011,105.9,ON_TRACK
CMP0087,RetailChain_C,151900.0,17889992,18806138,105.1,ON_TRACK
CMP0037,InsureCo_D,406100.0,17790464,18627300,104.7,ON_TRACK
CMP0071,RetailChain_C,81800.0,4025997,4209617,104.6,ON_TRACK
CMP0067,InsureCo_D,111400.0,6384522,6673298,104.5,ON_TRACK
CMP0150,InsureCo_D,198000.0,11593734,12107133,104.4,ON_TRACK
CMP0063,AutoBrand_A,407600.0,24552244,25559538,104.1,ON_TRACK
CMP0060,InsureCo_D,320100.0,20125015,20937130,104.0,ON_TRACK
CMP0133,InsureCo_D,205600.0,24715679,25651229,103.8,ON_TRACK
CMP0099,CPG_Co_B,105700.0,4494411,4666190,103.8,ON_TRACK
CMP0043,CPG_Co_B,321000.0,21629552,22383497,103.5,ON_TRACK
CMP0101,BeverageBrand_F,60100.0,2686613,2778251,103.4,ON_TRACK
CMP0003,AutoBrand_A,409500.0,35119062,36185682,103.0,ON_TRACK
CMP0113,BeverageBrand_F,72200.0,2951816,3037280,102.9,ON_TRACK
CMP0059,BeverageBrand_F,500000.0,20709593,21306067,102.9,ON_TRACK
CMP0047,AutoBrand_H,47000.0,2325365,2376239,102.2,ON_TRACK
CMP0146,CPG_Co_B,86300.0,4450293,4539406,102.0,ON_TRACK
CMP0048,RetailChain_C,214800.0,9912381,10110987,102.0,ON_TRACK
CMP0105,AutoBrand_H,171700.0,7317694,7453613,101.9,ON_TRACK
CMP0086,AutoBrand_A,244400.0,13117253,13360900,101.9,ON_TRACK
CMP0012,AutoBrand_A,144400.0,11116669,11325167,101.9,ON_TRACK
CMP0149,RetailChain_C,308700.0,15236836,15448050,101.4,ON_TRACK
CMP0095,RetailChain_C,438700.0,23032228,23348221,101.4,ON_TRACK
CMP0098,TechFirm_E,403200.0,23676106,23897152,100.9,ON_TRACK
CMP0127,TechFirm_E,38800.0,1702675,1714457,100.7,ON_TRACK
CMP0076,InsureCo_D,388100.0,29420540,29618467,100.7,ON_TRACK
CMP0029,CPG_Co_B,498100.0,21680378,21831703,100.7,ON_TRACK
CMP0143,AutoBrand_A,331900.0,23395868,23534583,100.6,ON_TRACK
CMP0024,AutoBrand_H,465100.0,43747165,43833405,100.2,ON_TRACK
CMP0091,TechFirm_E,186400.0,8208043,8217887,100.1,ON_TRACK
CMP0028,FinServ_G,138400.0,16964188,16940055,99.9,ON_TRACK
CMP0027,AutoBrand_A,300000.0,12557552,12533170,99.8,ON_TRACK
CMP0140,CPG_Co_B,51700.0,3623356,3611424,99.7,ON_TRACK
CMP0084,BeverageBrand_F,219000.0,16977135,16911553,99.6,ON_TRACK
CMP0122,AutoBrand_H,186000.0,12192733,12122699,99.4,ON_TRACK
CMP0092,BeverageBrand_F,255100.0,14395707,14310064,99.4,ON_TRACK
CMP0064,AutoBrand_H,428500.0,27818747,27615726,99.3,ON_TRACK
CMP0130,AutoBrand_H,339400.0,24473716,24263920,99.1,ON_TRACK
CMP0046,BeverageBrand_F,159800.0,7360131,7292763,99.1,ON_TRACK
CMP0016,FinServ_G,103400.0,6994582,6934539,99.1,ON_TRACK
CMP0062,InsureCo_D,213400.0,10749394,10636883,99.0,ON_TRACK
CMP0039,CPG_Co_B,157300.0,8045291,7959324,98.9,ON_TRACK
CMP0079,InsureCo_D,58800.0,5908836,5830777,98.7,ON_TRACK
CMP0058,FinServ_G,180300.0,21645915,21317010,98.5,ON_TRACK
CMP0009,BeverageBrand_F,458700.0,36687304,36013819,98.2,ON_TRACK
CMP0109,BeverageBrand_F,206000.0,8743874,8577066,98.1,ON_TRACK
CMP0103,FinServ_G,489500.0,22091083,21647139,98.0,ON_TRACK
CMP0050,FinServ_G,412100.0,33217111,32566333,98.0,ON_TRACK
CMP0142,AutoBrand_H,177700.0,7194170,7039351,97.8,ON_TRACK
CMP0035,AutoBrand_A,198200.0,14144476,13829928,97.8,ON_TRACK
CMP0055,InsureCo_D,380100.0,44752280,43594185,97.4,ON_TRACK
CMP0085,CPG_Co_B,42400.0,1867555,1816304,97.3,ON_TRACK
CMP0045,FinServ_G,161300.0,9664494,9395895,97.2,ON_TRACK
CMP0069,FinServ_G,164800.0,10270838,9931556,96.7,ON_TRACK
CMP0070,BeverageBrand_F,227100.0,19053377,18412809,96.6,ON_TRACK
CMP0020,CPG_Co_B,115400.0,5087011,4914775,96.6,ON_TRACK
CMP0051,AutoBrand_H,388800.0,32436786,31258564,96.4,ON_TRACK
CMP0148,RetailChain_C,116200.0,6035486,5814033,96.3,ON_TRACK
